rate,churn,model,corr_raw,corr_detrended,corr_vs_true_season
30,20,ParetoNBD_MLE,-0.0805494979902433,0.02748212017553539,0.014282183566518806
30,20,LSTM,0.9561679125131984,0.91350230185835,0.9107925982354976
30,20,Transformer,0.4939959178022508,0.21192383119685113,0.5816299272654041
30,20,ParetoNBD_MLE,-0.05765676738311347,6.84904940366234e-05,0.014707747034250507
30,20,LSTM,0.8796373805874923,0.8721869245318503,0.9236185085133238
30,20,Transformer,0.7102131071470563,0.5459070844932236,0.7814498861380015
30,20,ParetoNBD_MLE,-0.0212431037478362,0.026827433514607955,0.016525915465639324
30,20,LSTM,0.9693121995580578,0.9457258536457954,0.9255330488049384
30,20,Transformer,0.6740383222815465,0.7145804344608812,0.7388445831865044
30,20,ParetoNBD_MLE,-0.08536335673215277,-0.01774978986783964,0.019306801826808998
30,20,LSTM,0.849895099608111,0.9441208588972925,0.8883232384062401
30,20,Transformer,0.9040429817040541,0.8125437923864418,0.8669419067131642
30,20,ParetoNBD_MLE,-0.06626128045707987,0.020437895079532382,0.017326821501141083
30,40,LSTM,0.9582774037039262,0.8816510584866066,0.9159195714047441
30,40,Transformer,0.5105556040385361,0.6359204306752979,0.7681523703261918
30,40,ParetoNBD_MLE,0.008177936388759813,-0.04619751211697175,-0.004209234811884743
30,40,LSTM,0.9533548037718632,0.8936397411585691,0.9013050790500968
30,40,Transformer,0.7054270635765958,0.5440853521721948,0.7389360080798824
30,40,ParetoNBD_MLE,-0.05520345417209426,0.02253435716475059,-0.00480682468083525
30,40,LSTM,0.9401450091872735,0.908206832576896,0.9171840309771828
30,40,Transformer,0.5663010549908075,0.436916375621972,0.6627410883784894
30,40,ParetoNBD_MLE,0.01652239687320566,0.035812278481173423,-0.0035879705164665677
30,40,LSTM,0.9342994253774729,0.8953284003738198,0.8904627622110043
30,40,Transformer,0.48196934820675963,0.4090168378050625,0.6811070202414244
30,40,ParetoNBD_MLE,-0.09747666616563887,0.020351086546029767,-0.0036352472934924294
30,40,LSTM,0.9452433762872428,0.9001349628838731,0.9190571628456113
30,40,Transformer,0.6320219439584092,0.6494181731750908,0.7428834854083699
30,40,ParetoNBD_MLE,0.019581815913278892,0.028954904870238232,-0.0023151007629702135
30,40,LSTM,0.9277053884897912,0.8658246682065147,0.910585803246463
30,40,Transformer,0.5025514017043902,0.48042726910000283,0.6819348978282319
30,40,ParetoNBD_MLE,0.09791359952368192,0.025335244288985308,-0.0012548021516001848
30,40,LSTM,0.9385702901642142,0.8422125077430608,0.9112079209335288
30,40,Transformer,0.6429158888607058,0.5027411301132921,0.7583776201100787
30,40,ParetoNBD_MLE,0.06072238749993482,-0.021471897932100657,-0.004461668510307752
30,40,LSTM,0.8456300390665984,0.8693007367199692,0.8513109558826077
30,40,Transformer,0.6925435722116864,0.6351898332585603,0.8458085254132658
30,40,ParetoNBD_MLE,0.009436239810800854,0.03628366265803514,-0.004157368966836511
30,40,LSTM,0.9204459396249285,0.8534272406548697,0.9095965337015042
30,40,Transformer,0.7430695432753454,0.6787596649460712,0.8449511972719437
30,40,ParetoNBD_MLE,-0.037617234380530024,-0.05000772680413145,-0.004205272843948062
30,40,LSTM,0.9251226467914568,0.9001644778873908,0.9085285331159301
30,40,Transformer,0.7498840897702119,0.633680704449888,0.7787960737810948
30,40,ParetoNBD_MLE,0.05797133475214578,0.00690103256043943,-0.005605873511724052
30,60,LSTM,0.9155536187434357,0.8685960371802738,0.9238805696170778
30,60,Transformer,0.6021177130395375,0.5486882557960188,0.7012884158442841
30,60,ParetoNBD_MLE,0.056490151082095895,0.023929730786228703,-0.02219133598004481
30,60,LSTM,0.6234413096568078,0.7425900220553797,0.8420949167391503
30,60,Transformer,0.5718890683071282,0.5508661942390264,0.7696853462363301
30,60,ParetoNBD_MLE,0.1643855880643981,0.06038193689546962,-0.019505618831364365
30,60,LSTM,0.9138886672110109,0.8679815057709286,0.88284557920755
30,60,Transformer,0.5283164323613055,0.5683404707164877,0.748324678965969
30,60,ParetoNBD_MLE,0.25784869787244746,-0.05489310372671868,-0.01698270356065871
30,60,LSTM,0.7758472592578683,0.8114200127702075,0.856063263211221
30,60,Transformer,0.6262379663310812,0.4536494096224188,0.7315038764523234
30,60,ParetoNBD_MLE,0.11800128161761346,0.04496146976060461,-0.02528622781975209
30,60,LSTM,0.9153176078024025,0.838032639643511,0.9096135319108137
30,60,Transformer,0.6570614863864951,0.5096283746539191,0.8321119000714827
