model,arm,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman,pred_sd
ValendinLSTM,floor50,10,0.3771966185143418,3.5218139308242677,48.221199596764045,59.10395354758774,0.1691807801625794,0.5583439152632619
ValendinLSTM,floor50,11,0.3761931029376641,3.4688401643593982,-29.105998981101738,42.727675576121065,0.21160638191444786,0.3502235653450676
ValendinLSTM,floor50,12,0.3767639500385058,3.5583933378027472,21.077709415979434,49.580095379518696,-0.017252366635293864,0.19464258227867934
ValendinLSTM,floor50,13,0.37622492867380947,3.5556509940481296,-38.74369496511387,45.323108521245096,0.08534898203481224,0.1671146396788353
ValendinLSTM,floor50,14,0.37591480622159495,3.261491093576766,26.928765959491585,48.44819352890333,0.2701751727365401,1.1566294659535985
ValendinLSTM,floor50,15,0.376015569859244,3.4866296934126484,-41.19359271558957,48.66734849582365,0.22172500959067448,0.38349727315490123
ValendinLSTM,floor50,16,0.3758208608837496,3.295539789213761,31.942058396706475,51.527607279633436,0.2915955821265133,1.314841563240885
ValendinLSTM,floor50,17,0.377121564278388,3.515471366656503,30.7978866732949,57.297545942733656,0.1639193016816612,0.27507871201777123
ValendinLSTM,floor50,18,0.3765694932717444,3.542419799383773,-30.08691239721159,45.33708253640483,0.08394654636824303,0.18321498282905094
ValendinLSTM,floor50,19,0.37644013777126795,3.4928532752970747,34.479890774234484,49.00817985474375,0.21935494330430325,0.4194520131110671
LSTM,archive,0,0.37657302615616284,3.531369413160788,14.744035243205765,51.53953643323977,0.03690296912374399,0.17000907285189656
