panel,model,training,cluster,rep,rmse,rmse_customer_total,bias_percent,mape_aggregate,spearman
cdnow,LSTM,archive,no_cluster,8,0.14855673034108924,1.8776863285606809,15.141160214432574,40.39656985526542,0.4203618865352024
cdnow,LSTM,archive,no_cluster,9,0.1479447926884456,1.7791137283013359,45.14960357029758,50.359102480683404,0.4439621334420367
cdnow,LSTM,archive,no_cluster,10,0.1474327630192689,1.7881892016707785,-10.395779093349331,23.397889332673852,0.4164527486679336
cdnow,LSTM,archive,no_cluster,11,0.15088412839642135,1.9468758645439612,85.90685966677718,89.2767807052009,0.41779447288290983
cdnow,LSTM,archive,no_cluster,12,0.14825790417116524,1.7509264551637596,25.66094918722027,47.62137205755252,0.43448588725281034
cdnow,LSTM,archive,no_cluster,13,0.15589588555948963,2.1280593395034,113.4013188118727,123.60342992253415,0.22247310876396753
cdnow,LSTM,archive,no_cluster,14,0.16211623719971763,2.5706695267697133,211.96411615257233,222.42269167971438,0.39698386945894326
cdnow,LSTM,archive,no_cluster,15,0.14693867602799227,1.7833435370161297,-30.44168942099306,31.986808071409598,0.40378840723478776
cdnow,LSTM,archive,no_cluster,16,0.1473723031276423,1.8358953984322486,-38.37440712785375,39.431399097641815,0.40117534793990517
cdnow,LSTM,archive,no_cluster,17,0.1477124975020256,1.884836391480788,-33.84459193029268,34.454090559860305,0.34504265066692175
cdnow,LSTM,archive,no_cluster,18,0.14742975246794388,1.8495013438384034,-38.09287680131181,38.40633322516765,0.4170373951324725
cdnow,LSTM,archive,no_cluster,19,0.14638121905793064,1.6897665946938494,3.9960413120467884,21.814511555559,0.3475829796528817
cdnow,LSTM,archive,kmeans_8,0,0.15699626934882294,2.398442902850222,62.94089671411107,69.11028990104279,0.36453421115262546
cdnow,LSTM,archive,kmeans_8,1,0.15889403145361888,2.769610560240454,97.32638509806462,97.32638509806463,0.3958570369817976
cdnow,LSTM,archive,kmeans_8,2,0.15473242920101052,2.4446293412083127,45.200263732370914,47.663060604474204,0.44197196397159805
cdnow,LSTM,archive,kmeans_8,3,0.15282526885169126,2.1393735492463524,65.19102877040325,73.66332431169006,0.39307698102914496
cdnow,LSTM,archive,kmeans_8,4,0.15261228027558568,1.9163734166796174,47.98179414531199,57.94010557632365,0.35732750667340796
cdnow,LSTM,archive,kmeans_8,5,0.16477449997988328,2.549746810578927,130.80105516671298,136.7013190424752,0.3884557493836258
cdnow,LSTM,archive,kmeans_8,6,0.16686114806998892,2.5698600225734283,189.95514483478564,189.9551448347857,0.364026701666305
cdnow,LSTM,archive,kmeans_8,7,0.15128506554094784,2.056174798691598,13.170184636129742,31.538522404748786,0.3920589149637852
cdnow,LSTM,archive,kmeans_8,8,0.16270525480100392,2.568355726994868,129.39604188259042,131.48891788610004,0.3050702706435563
cdnow,LSTM,archive,kmeans_8,9,0.14984607033203007,2.0231899757998715,9.242480195282191,24.048812644590555,0.4236216383079406
cdnow,LSTM,archive,kmeans_8,10,0.15128055952034747,2.070021976774872,28.799472176629493,41.33561994187471,0.4024691055692584
cdnow,LSTM,archive,kmeans_8,11,0.15478321632688738,2.4435798889859,61.09445899936285,61.55250648478911,0.444797637198841
cdnow,LSTM,archive,kmeans_8,12,0.1748227090254321,2.5125251873900925,186.69313950247877,186.69313950247877,0.3902045853734258
cdnow,LSTM,archive,kmeans_8,13,0.16106346182388884,2.474740311283317,92.16226874828567,95.34854848557062,0.40480027492961773
cdnow,LSTM,archive,kmeans_8,14,0.15046049345590023,1.9716692899797443,12.333245246245976,27.94063318589589,0.45068557430840894
cdnow,LSTM,archive,kmeans_8,15,0.14950044182152689,1.968631131893205,2.280474774205228,21.814511870193765,0.3943202539675817
cdnow,LSTM,archive,kmeans_8,16,0.15288512886728609,2.1356316874686665,36.198152930065355,47.397097619619,0.4152120083381236
cdnow,LSTM,archive,kmeans_8,17,0.14994704595077446,2.027752551338933,-5.196306272348472,27.688126692248613,0.4308244381129827
cdnow,LSTM,archive,kmeans_8,18,0.167598097813833,2.879340027650111,182.73139818731224,183.40949847070505,0.40568859695445797
cdnow,LSTM,archive,kmeans_8,19,0.1510379526606662,1.9575770498484324,40.546701583313315,52.11662249526585,0.4002318706692115
cdnow,LSTM,floored,no_cluster,0,0.1469200521496301,1.7450059135612423,5.336938537312949,22.6118732529316,0.39348862882527214
cdnow,LSTM,floored,no_cluster,1,0.15643659471211843,2.2036442762928394,155.18812632640322,160.6255934683796,0.4057888826594014
cdnow,LSTM,floored,no_cluster,2,0.1621006078274655,2.687985268597967,237.04379943840797,240.07229558720502,0.404027026261872
cdnow,LSTM,floored,no_cluster,3,0.17501941126270104,3.3593015958475925,333.4166233947297,334.0614783570248,0.22826171711054793
cdnow,LSTM,floored,no_cluster,4,0.15502155319761535,2.136420722914226,135.25435325539692,147.99261209935844,0.41535063807606554
cdnow,LSTM,floored,no_cluster,5,0.17596107914995646,3.4040676805744385,347.2240113064959,348.19551530399764,0.14959049119643156
cdnow,LSTM,floored,no_cluster,6,0.15891743449995893,2.544655534912953,198.66042197399355,203.73799466383002,-0.04545986038306538
cdnow,LSTM,floored,no_cluster,7,0.15043922418989106,1.9656014936947648,74.05620000352144,77.78601552249162,0.4324491013248693
cdnow,LSTM,floored,no_cluster,8,0.14911175931068144,1.9257701651840269,30.787862210059963,43.899735947210715,0.40457701040038696
cdnow,LSTM,floored,no_cluster,9,0.15620448862906075,2.3036340511923648,188.07123993176918,192.18680732389578,0.43004779616018357
cdnow,LSTM,floored,no_cluster,10,0.15633731505877763,2.2445333916645724,144.33482809409986,149.69947201713393,0.4256552136090372
cdnow,LSTM,floored,no_cluster,11,0.15683218037629054,2.290686144248459,150.24168819714913,154.9377308330328,0.3887094256066674
cdnow,LSTM,floored,no_cluster,12,0.16155339465626153,2.5741443193673414,216.78707125933335,218.70263862789724,0.412520534104942
cdnow,LSTM,floored,no_cluster,13,0.15673126691004258,2.200829883675079,155.6010551224792,160.73984159485946,0.4256207725315409
cdnow,LSTM,floored,no_cluster,14,0.14701647039352567,1.7432986848840124,4.95778287109696,22.59313973546575,0.38464658417622577
cdnow,LSTM,floored,no_cluster,15,0.16592708346060708,2.847806180062653,269.414512080123,273.1063327579549,0.3927664507216544
cdnow,LSTM,floored,no_cluster,16,0.17965645447092043,3.298379313211742,335.9561996661754,341.5535613059466,0.41496769538528283
cdnow,LSTM,floored,no_cluster,17,0.17734550095997845,3.0972624605435723,305.5598940300731,307.4379943639019,0.4135339093348422
cdnow,LSTM,floored,no_cluster,18,0.157393871545145,2.1091001246948964,99.29947193461325,146.8973616689031,0.1598662788454461
cdnow,LSTM,floored,no_cluster,19,0.15409152959459824,2.1781597070177097,126.09182019155242,130.4823216935004,0.4061672820199959
cdnow,LSTM,floored,kmeans_8,0,0.1620849635317437,2.2593636992988464,92.12506578817444,117.67915555052356,0.3768848033254146
cdnow,LSTM,floored,kmeans_8,1,0.16842230376401235,2.7485902967769418,130.49472272577918,130.95804727569924,0.4104625782179161
cdnow,LSTM,floored,kmeans_8,2,0.16090863516374912,2.4442899752796685,116.43878599471525,119.47308678450275,0.34804166166531914
cdnow,LSTM,floored,kmeans_8,3,0.16164983574049996,2.3704710316972797,133.61451140435344,135.3411605184538,0.4099054767545218
cdnow,LSTM,floored,kmeans_8,4,0.15854708913517102,2.1556403724364523,96.34881239128843,99.79630585661577,0.3950226673333495
cdnow,LSTM,floored,kmeans_8,5,0.15247378570079617,2.1371771312259717,35.79234807931452,40.76121359498367,0.43280896031155097
