suite,model,study,best_epoch,val_loss,spearman,pred_sd,arm
ar_encoding__electronics__ar_bounded_32__d,LSTM,16,18.0,0.0881072506308555,0.3076027198813207,1.329026540537955,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,15,28.0,0.085786122828722,0.24298482036020802,0.5795499656330761,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,20,23.0,0.0871671448860849,0.27547221832875013,0.6346241965088926,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,8,28.0,0.0856594517827034,0.24821542862194176,0.30385908742376483,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,6,23.0,0.0871588960289955,0.309006924909305,0.9779944624989718,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,9,23.0,0.0885125401501472,0.25967244323048044,0.9587263328935368,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__d,LSTM,13,35.0,0.0871482044458389,0.3035918159545637,0.9916088877885607,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,19,20.0,0.0881803703422729,0.30090675161292796,1.2022274942869702,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,7,20.0,0.0880908536223264,0.2888349204474245,1.0907723370037756,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,4,26.0,0.0852379128336906,0.3113152643802533,0.7608969813455194,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,17,36.0,0.0854841694235801,0.15243677326044763,0.45711154408136867,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,18,22.0,0.0850531067699194,0.2569519440502979,1.1311252757919017,ar_encoding__electronics__ar_bounded_32
ar_encoding__electronics__ar_bounded_32__e,LSTM,11,25.0,0.088222236587451,0.3034263821740809,0.8992866711747715,ar_encoding__electronics__ar_bounded_32
