suite,model,study,spearman,pred_sd,val_loss,best_epoch,epochs_run,lr,batch_size,weight_decay,updates,hidden,dense,dropout,embedder,d_model,arm
ar_encoding__electronics__ar_bounded_52__a,LSTM,9,0.2814241394355737,0.5064276965466151,0.0882573146373033,30.0,38.0,0.0018387916493015,256.0,9.192261001579126e-05,124.0,64.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,10,0.2061205094909874,0.3506955221774839,0.0886110599551882,22.0,30.0,0.0042623639854296,128.0,3.824904000625222e-06,161.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,11,0.2458001377087599,0.6991286076638112,0.0892016707131495,26.0,34.0,0.0022140733101647,64.0,3.824696647311639e-05,351.0,128.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,12,0.2885151118921383,0.6545602561065345,0.0890685701026366,15.0,23.0,0.0046226972127571,64.0,0.0001732181177303,208.0,32.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,13,0.3035711040380054,0.7893641844429632,0.0894750282168388,23.0,31.0,0.0033046018664273,64.0,3.954289047195056e-06,312.0,128.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,14,0.2810206748307964,0.3265535088170847,0.0880138147622346,35.0,43.0,0.0024083414055478,256.0,0.0004156268644708,144.0,32.0,128.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,15,0.2014301425686482,0.3775786007367029,0.0904334264879043,28.0,36.0,0.0017880293596757,64.0,2.78524837903356e-06,377.0,128.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,16,0.2570959416220726,0.8901199065699988,0.0884279033967426,35.0,43.0,0.0043010977359854,128.0,0.0029943426210887,252.0,128.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,17,0.2841022797777811,0.5683914859171487,0.089746994467882,18.0,26.0,0.0018744574172577,64.0,0.0001213195322274,247.0,64.0,64.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,18,0.2322391964920881,0.491541952949132,0.0892422503003707,18.0,26.0,0.008253523480647,64.0,0.0022860500513928,247.0,32.0,32.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,19,0.1822955608964231,0.7673746519743792,0.0862897038459777,30.0,38.0,0.0043540152110987,256.0,4.270250766408908e-06,124.0,128.0,32.0,0.0,valendin,,a
ar_encoding__electronics__ar_bounded_52__a,LSTM,20,0.1337892383907598,0.2621436105788418,0.089210954095636,15.0,23.0,0.0060015596558585,128.0,0.0070978627580406,112.0,32.0,64.0,0.2,valendin,,a
ar_encoding__electronics__ar_bounded_52__b,LSTM,1,0.2371884587715648,0.2045068900547744,0.0904224347323179,12.0,20.0,0.0014109690116861,256.0,0.0008388717734768,52.0,128.0,64.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_52__b,LSTM,2,0.2969967215997956,0.496632783642047,0.0892381854355335,21.0,29.0,0.0015083445972464,64.0,0.0001140186565948,286.0,128.0,64.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_52__b,LSTM,3,-0.2331071747606296,0.2154472650916801,0.09027985855937,10.0,18.0,0.0020418819071599,256.0,1.1151700396753252e-05,44.0,128.0,32.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_52__b,LSTM,4,0.2772946043375431,0.9484736357278968,0.089594691991806,10.0,18.0,0.0020312065152233,64.0,2.4819843631872704e-05,143.0,128.0,64.0,0.0,valendin,,b
ar_encoding__electronics__ar_bounded_52__b,LSTM,5,0.2427536209459296,0.340553594996813,0.0883903396981103,35.0,43.0,0.0056691470038227,128.0,0.0006400122924443,252.0,64.0,32.0,0.0,valendin,,b
